year,iso3,INFRA,INFRA_PC,INFRA_k,HCR,HCR_PC,HCR_k
2003,BDI,-0.9102924921802715,-0.9093987315168931,4,-0.9350337809341898,-0.9477326961358189,4
2003,BEN,-0.22575046343842442,-0.22627859570383357,4,-0.12134509124635184,-0.15135612528511255,4
2003,BFA,-0.6396506589163591,-0.6418325681209633,4,-1.2342872456798788,-1.2491328365468428,3
2003,BWA,1.1270446511518655,1.113053782900872,4,1.6874194127946263,1.6937509580328252,4
2003,CAF,-0.9107579495985242,-0.910853152530065,4,-0.8291484644113124,-0.8364343384502383,3
2003,CIV,0.24510111579898172,0.23702323029652372,4,-0.4267804441082173,-0.4269454142012931,2
2003,CMR,0.03675696350538846,0.02505937099193536,4,0.07969260736755718,0.05796946144290002,4
2003,COD,-0.8268722815044072,-0.8360574513628034,4,0.06843038321961195,0.0671112805071774,2
2003,COG,-0.12993652850257598,-0.15129986597262954,4,0.5341427630320889,0.5351113262093435,4
2003,COM,-0.12319898399086236,-0.10052347347907468,4,0.07390035880093962,0.07345170497675699,4
2003,CPV,1.516377848542865,1.525055226204189,4,0.9788452605373781,0.999075283903146,4
2003,DJI,0.08215042264200487,0.08553035871737953,4,-1.3222454628874452,-1.3324757854915905,3
2003,ERI,-0.5717867320661816,-0.5523951131902254,4,0.09923748145885375,0.12455401694660528,3
2003,ETH,-0.9467022636213476,-0.9350599672304871,4,-0.8389775105115669,-0.8533820231519413,4
2003,GAB,1.2376732052621424,1.2274206077749874,4,1.3064050922137944,1.306703810953332,3
2003,GHA,0.1836914950470105,0.18647874282243432,4,0.027175831797725553,0.024917280932601347,3
2003,GIN,-0.6495379010450157,-0.646702699926916,4,-0.7494224264557174,-0.7559193456224357,4
2003,GMB,0.4882790676518858,0.48238072748005234,4,-0.8664800248873789,-0.8556026847205147,3
2003,GNB,-0.721456639048966,-0.7011361214986647,4,-0.11911286493808551,-0.1251493190091791,2
2003,GNQ,0.24007154956137683,0.23636023310051507,4,-0.03509780156697736,-0.04851194839423502,3
2003,KEN,0.07027174321470887,0.0721098376971996,4,0.3489816208442707,0.360564838071485,4
2003,LBR,-0.8729389795387651,-0.8801554757878339,3,0.3438248679817243,0.3456366270289375,2
2003,LSO,-0.031833591502760494,-0.040400013264861374,4,0.34823473140418876,0.35663838316867585,4
2003,MDG,-0.6001923387272572,-0.5994816957498448,4,-0.09204769601113551,-0.07823557600064861,3
2003,MLI,-0.6181075181520166,-0.6212497769695277,4,-0.8779982273980395,-0.8922829246971379,4
2003,MOZ,-0.6468530837231203,-0.6517660289630994,4,-0.938949720011278,-0.9324428982872206,4
2003,MRT,0.04276130408734166,0.018226471140111077,4,-0.40775781175805603,-0.42544722138233976,4
2003,MUS,2.6935142043958273,2.702972448979115,4,2.022020593387055,2.0149936991005926,4
2003,MWI,-0.7588220258715102,-0.7573983574364611,4,-0.30478223848293545,-0.25954436058132896,4
2003,NAM,0.9565382942905124,0.9550750879108817,4,1.2112668475362016,1.2193088848688616,4
2003,NER,-0.9438616414042241,-0.9405797059478136,4,-1.5328407953619159,-1.5361308698797722,4
2003,NGA,-0.11207080492474085,-0.1086213027710254,4,0.49993416582399297,0.46016794122274507,4
